school_id,short_name,is_high_school
609949,GRAY,False
609950,ORTIZ DE DOMINGUEZ,False
609798,BELDING,False
610561,CRANE MEDICAL HS,True
610138,PULASKI,False
609859,CLINTON,False
610192,STOWE,False
610172,SHERMAN,False
610125,RUIZ,False
609819,BURKE,False
400113,CICS - CHICAGOQUEST HS,True
609792,BATEMAN,False
609682,RICHARDS HS,True
609921,TELPOCHCALLI,False
610276,MOLLISON,False
610524,ALCOTT HS,True
609811,BRIGHT,False
609876,DAVIS N,False
400146,KIPP - ACADEMY,False
609994,HIBBARD,False
609856,CLAY,False
610319,EVERGREEN,False
610499,COLLINS HS,True
610284,NEW FIELD,False
609818,BURBANK,False
610165,SCHUBERT,False
609973,ZAPATA,False
610570,OMBUDSMAN - SOUTH HS,True
400089,ACERO - MARQUEZ,False
610219,WASHINGTON G ES,False
610027,KIPLING,False
609828,BURR,False
400141,YCCS - TRUMAN,True
400033,CICS - LONGWOOD,True
610323,BOWEN HS,True
610588,RICHARDSON,False
610539,CAMRAS,False
609710,HARLAN HS,True
609715,KELLY HS,True
400136,YCCS - OLIVE HARVEY,True
610329,OROZCO,False
400159,CHRISTOPHER HOUSE,False
609883,DENEEN,False
610060,JACKSON A,False
400175,CAMELOT - EXCEL SOUTHSHORE HS,True
610213,WADSWORTH,False
400069,POLARIS,False
400171,FOUNDATIONS,True
609853,CHASE,False
609779,ARMSTRONG G,False
609780,MARINE LEADERSHIP AT AMES HS,True
609698,BOGAN HS,True
609806,BRADWELL,False
610129,PICKARD,False
610580,BRIDGESCAPE - HUMBOLDT PARK HS,True
400098,NOBLE - MUCHIN HS,True
610325,AVONDALE-LOGANDALE,False
609865,JORDAN,False
400173,PATHWAYS - BRIGHTON PARK HS,True
610096,NIGHTINGALE,False
610051,NORTHWEST,False
610006,HURLEY,False
609929,FULTON,False
610143,REAVIS,False
610217,WARD J,False
609749,NORTHSIDE PREP HS,True
400085,ACERO - GARCIA HS,True
609919,FISKE,False
610089,MURPHY,False
610046,LYON,False
609935,GALLISTEL,False
609894,DRAKE,False
609800,BENNETT,False
400097,NOBLE - BULLS HS,True
400134,YCCS - ADDAMS,True
609842,CARSON,False
610066,MCDADE,False
610534,SKINNER NORTH,False
400044,KIPP - ASCEND,False
609817,BUDLONG,False
609978,SMITH,False
609829,BURROUGHS,False
610038,LINCOLN,False
400169,NOBLE - ITW SPEER HS,True
610059,MAYER,False
400116,MONTESSORI ENGLEWOOD,False
610052,MANN,False
610158,SAYRE,False
609737,VON STEUBEN HS,True
610011,JAMIESON,False
610109,OWEN,False
610124,WASHINGTON H ES,False
609887,DIXON,False
609863,COLUMBUS,False
610281,POWELL,False
400029,CICS - WASHINGTON PARK,False
610065,TILL,False
610521,DAVIS M,False
609827,BURNSIDE,False
610581,BRIDGESCAPE - BRAINERD HS,True
609849,CASSELL,False
609958,GUNSAULUS,False
609944,GRISSOM,False
400145,YCCS - YOUTH CONNECTION,True
609836,CANTY,False
400079,ACERO - ZIZUMBO,False
610541,LORCA,False
